,metabolite_id,metabolite_name,cross_feeding,produced_by,consumed_by
0,_12ppd_S_medium,"(S)-propane-1,2-diol",False,['Megamonas'],[]
1,_26dap_M_medium,"meso-2,6-Diaminoheptanedioate",True,['Bacteroides'],"['Alistipes', 'Paraprevotella', 'Dorea', 'Barnesiella', 'Phascolarctobacterium', 'Subdoligranulum']"
2,_2ddglcn_medium,2-Dehydro-3-deoxy-D-gluconate,False,[],[]
3,C02528_medium,chenodeoxycholate,False,[],[]
4,Lcyst_medium,L-cysteate(1-),False,[],[]
5,MGlcn100_medium,mucin-type O-glycan No 100,False,[],['Lachnospiraceae']
6,MGlcn100_rl_medium,released mucin-type O-glycan No 100,False,[],[]
7,MGlcn101_medium,mucin-type O-glycan No 101,False,[],['Bacteroides']
8,MGlcn101_rl_medium,released mucin-type O-glycan No 101,False,[],[]
9,MGlcn102_medium,mucin-type O-glycan No 102,True,"['Lachnospiraceae', 'Ruminococcus']",['Barnesiella']
10,MGlcn102_rl_medium,released mucin-type O-glycan No 102,False,[],[]
11,MGlcn104_medium,mucin-type O-glycan No 104,False,[],[]
12,MGlcn104_rl_medium,released mucin-type O-glycan No 104,False,[],[]
13,MGlcn105_medium,mucin-type O-glycan No 105,False,[],[]
14,MGlcn105_rl_medium,released mucin-type O-glycan No 105,False,[],[]
15,MGlcn106_medium,mucin-type O-glycan No 106,False,[],[]
16,MGlcn106_rl_medium,released mucin-type O-glycan No 106,False,[],[]
17,MGlcn107_medium,mucin-type O-glycan No 107,False,[],[]
18,MGlcn107_rl_medium,released mucin-type O-glycan No 107,False,[],[]
19,MGlcn108_medium,mucin-type O-glycan No 108,False,[],[]
20,MGlcn108_rl_medium,released mucin-type O-glycan No 108,False,[],[]
21,MGlcn109_medium,mucin-type O-glycan No 109,False,[],[]
22,MGlcn109_rl_medium,released mucin-type O-glycan No 109,False,[],[]
23,MGlcn10_medium,mucin-type O-glycan No 10,True,['Lachnospiraceae'],['Ruminococcus']
24,MGlcn10_rl_medium,released mucin-type O-glycan No 10,True,['Bacteroides'],['Lachnospiraceae']
25,MGlcn110_medium,mucin-type O-glycan No 110,False,[],[]
26,MGlcn110_rl_medium,released mucin-type O-glycan No 110,False,[],[]
27,MGlcn111_medium,mucin-type O-glycan No 111,False,[],[]
28,MGlcn111_rl_medium,released mucin-type O-glycan No 111,False,[],[]
29,MGlcn112_medium,mucin-type O-glycan No 112,False,[],[]
30,MGlcn112_rl_medium,released mucin-type O-glycan No 112,False,[],[]
31,MGlcn113_medium,mucin-type O-glycan No 113,False,[],[]
32,MGlcn113_rl_medium,released mucin-type O-glycan No 113,False,[],[]
33,MGlcn114_medium,mucin-type O-glycan No 114,False,[],[]
